time,HL_WIND,IM_WIND,JL_WIND,LN_WIND,HL_SOLAR,IM_SOLAR,JL_SOLAR,LN_SOLAR
12/1/2022 0:00,0.334,0.574,0.447,0.278,0,0,0,0
12/1/2022 1:00,0.289,0.542,0.413,0.268,0,0,0,0
12/1/2022 2:00,0.248,0.504,0.379,0.231,0,0,0,0
12/1/2022 3:00,0.191,0.484,0.332,0.196,0,0,0,0
12/1/2022 4:00,0.174,0.494,0.259,0.164,0,0,0,0
12/1/2022 5:00,0.15,0.501,0.2,0.139,0,0,0,0
12/1/2022 6:00,0.148,0.513,0.164,0.119,0,0,0,0
12/1/2022 7:00,0.106,0.535,0.137,0.088,0.029,0,0.035,0.06
12/1/2022 8:00,0.086,0.583,0.105,0.043,0.213,0.092,0.217,0.325
12/1/2022 9:00,0.07,0.644,0.055,0.012,0.424,0.245,0.422,0.549
12/1/2022 10:00,0.1,0.71,0.019,0.001,0.611,0.393,0.602,0.681
12/1/2022 11:00,0.146,0.711,0.025,0,0.659,0.552,0.717,0.727
12/1/2022 12:00,0.169,0.716,0.048,0,0.62,0.575,0.714,0.704
12/1/2022 13:00,0.185,0.72,0.067,0.001,0.496,0.527,0.619,0.605
12/1/2022 14:00,0.179,0.712,0.086,0,0.274,0.436,0.445,0.451
12/1/2022 15:00,0.204,0.685,0.17,0,0.048,0.219,0.199,0.228
12/1/2022 16:00,0.233,0.646,0.323,0,0,0.025,0,0.008
12/1/2022 17:00,0.22,0.653,0.501,0,0,0,0,0
12/1/2022 18:00,0.167,0.642,0.666,0,0,0,0,0
12/1/2022 19:00,0.155,0.658,0.768,0,0,0,0,0
12/1/2022 20:00,0.119,0.668,0.809,0,0,0,0,0
12/1/2022 21:00,0.097,0.692,0.806,0,0,0,0,0
12/1/2022 22:00,0.079,0.713,0.77,0,0,0,0,0
12/1/2022 23:00,0.076,0.726,0.717,0.006,0,0,0,0
12/2/2022 0:00,0.074,0.732,0.663,0.056,0,0,0,0
12/2/2022 1:00,0.072,0.722,0.611,0.155,0,0,0,0
12/2/2022 2:00,0.057,0.7,0.574,0.238,0,0,0,0
12/2/2022 3:00,0.056,0.694,0.533,0.271,0,0,0,0
12/2/2022 4:00,0.057,0.708,0.481,0.256,0,0,0,0
12/2/2022 5:00,0.084,0.706,0.431,0.192,0,0,0,0
12/2/2022 6:00,0.101,0.707,0.401,0.132,0,0,0,0
12/2/2022 7:00,0.099,0.7,0.379,0.095,0.014,0,0.054,0.015
12/2/2022 8:00,0.073,0.691,0.344,0.072,0.087,0.098,0.303,0.105
12/2/2022 9:00,0.064,0.696,0.255,0.052,0.171,0.274,0.536,0.24
12/2/2022 10:00,0.07,0.724,0.101,0.028,0.253,0.407,0.684,0.382
12/2/2022 11:00,0.086,0.773,0.072,0.021,0.263,0.508,0.738,0.407
12/2/2022 12:00,0.13,0.84,0.089,0.036,0.214,0.463,0.712,0.342
12/2/2022 13:00,0.144,0.87,0.118,0.058,0.129,0.349,0.619,0.315
12/2/2022 14:00,0.125,0.892,0.131,0.076,0.049,0.22,0.449,0.189
12/2/2022 15:00,0.121,0.891,0.201,0.064,0.004,0.109,0.2,0.067
12/2/2022 16:00,0.162,0.85,0.336,0.046,0,0.009,0,0.001
12/2/2022 17:00,0.192,0.843,0.479,0.045,0,0,0,0
12/2/2022 18:00,0.217,0.829,0.552,0.064,0,0,0,0
12/2/2022 19:00,0.21,0.804,0.565,0.124,0,0,0,0
12/2/2022 20:00,0.183,0.799,0.608,0.227,0,0,0,0
12/2/2022 21:00,0.157,0.806,0.661,0.355,0,0,0,0
12/2/2022 22:00,0.14,0.803,0.702,0.457,0,0,0,0
12/2/2022 23:00,0.14,0.791,0.722,0.538,0,0,0,0
12/3/2022 0:00,0.12,0.814,0.722,0.6,0,0,0,0
12/3/2022 1:00,0.099,0.808,0.692,0.641,0,0,0,0
12/3/2022 2:00,0.075,0.817,0.678,0.571,0,0,0,0
12/3/2022 3:00,0.057,0.826,0.678,0.506,0,0,0,0
12/3/2022 4:00,0.063,0.83,0.665,0.455,0,0,0,0
12/3/2022 5:00,0.073,0.826,0.635,0.4,0,0,0,0
12/3/2022 6:00,0.076,0.831,0.626,0.367,0,0,0,0
12/3/2022 7:00,0.076,0.827,0.635,0.38,0.017,0,0.06,0.055
12/3/2022 8:00,0.06,0.841,0.61,0.289,0.13,0.125,0.318,0.346
12/3/2022 9:00,0.06,0.845,0.451,0.128,0.267,0.344,0.542,0.572
12/3/2022 10:00,0.101,0.856,0.204,0.183,0.375,0.556,0.672,0.703
12/3/2022 11:00,0.132,0.903,0.156,0.351,0.381,0.724,0.718,0.748
12/3/2022 12:00,0.185,0.931,0.127,0.292,0.326,0.794,0.698,0.735
12/3/2022 13:00,0.221,0.939,0.106,0.224,0.213,0.699,0.607,0.656
12/3/2022 14:00,0.188,0.941,0.124,0.195,0.141,0.495,0.435,0.495
12/3/2022 15:00,0.233,0.935,0.288,0.177,0.028,0.216,0.192,0.26
12/3/2022 16:00,0.303,0.927,0.574,0.186,0,0.017,0,0.009
12/3/2022 17:00,0.259,0.92,0.753,0.209,0,0,0,0
12/3/2022 18:00,0.205,0.91,0.815,0.237,0,0,0,0
12/3/2022 19:00,0.191,0.891,0.83,0.3,0,0,0,0
12/3/2022 20:00,0.188,0.894,0.826,0.405,0,0,0,0
12/3/2022 21:00,0.163,0.893,0.808,0.491,0,0,0,0
12/3/2022 22:00,0.128,0.887,0.786,0.518,0,0,0,0
12/3/2022 23:00,0.112,0.866,0.763,0.494,0,0,0,0
12/4/2022 0:00,0.104,0.872,0.737,0.444,0,0,0,0
12/4/2022 1:00,0.099,0.865,0.705,0.379,0,0,0,0
12/4/2022 2:00,0.093,0.865,0.659,0.317,0,0,0,0
12/4/2022 3:00,0.085,0.859,0.599,0.27,0,0,0,0
12/4/2022 4:00,0.084,0.857,0.524,0.225,0,0,0,0
12/4/2022 5:00,0.084,0.858,0.47,0.167,0,0,0,0
12/4/2022 6:00,0.097,0.862,0.449,0.112,0,0,0,0
12/4/2022 7:00,0.112,0.857,0.468,0.076,0.017,0,0.047,0.079
12/4/2022 8:00,0.101,0.84,0.485,0.034,0.123,0.102,0.293,0.337
12/4/2022 9:00,0.097,0.87,0.366,0.024,0.25,0.287,0.523,0.563
12/4/2022 10:00,0.114,0.859,0.229,0.014,0.356,0.472,0.663,0.697
12/4/2022 11:00,0.153,0.878,0.251,0.019,0.454,0.594,0.717,0.745
12/4/2022 12:00,0.183,0.897,0.311,0.036,0.425,0.704,0.697,0.73
12/4/2022 13:00,0.22,0.905,0.379,0.046,0.362,0.705,0.603,0.648
12/4/2022 14:00,0.184,0.911,0.382,0.051,0.232,0.55,0.429,0.425
12/4/2022 15:00,0.208,0.908,0.508,0.048,0.032,0.319,0.183,0.188
12/4/2022 16:00,0.27,0.897,0.712,0.046,0,0.038,0,0.004
12/4/2022 17:00,0.31,0.906,0.805,0.067,0,0,0,0
12/4/2022 18:00,0.325,0.913,0.8,0.102,0,0,0,0
12/4/2022 19:00,0.294,0.918,0.763,0.146,0,0,0,0
12/4/2022 20:00,0.219,0.919,0.74,0.213,0,0,0,0
12/4/2022 21:00,0.171,0.911,0.725,0.309,0,0,0,0
12/4/2022 22:00,0.135,0.897,0.708,0.42,0,0,0,0
12/4/2022 23:00,0.118,0.887,0.687,0.487,0,0,0,0
12/5/2022 0:00,0.101,0.894,0.661,0.49,0,0,0,0
12/5/2022 1:00,0.093,0.885,0.627,0.444,0,0,0,0
12/5/2022 2:00,0.076,0.875,0.596,0.367,0,0,0,0
12/5/2022 3:00,0.074,0.861,0.559,0.278,0,0,0,0
12/5/2022 4:00,0.076,0.845,0.509,0.192,0,0,0,0
12/5/2022 5:00,0.076,0.827,0.449,0.127,0,0,0,0
12/5/2022 6:00,0.081,0.8,0.398,0.095,0,0,0,0
12/5/2022 7:00,0.073,0.791,0.364,0.084,0.017,0,0.044,0.069
12/5/2022 8:00,0.046,0.788,0.335,0.054,0.117,0.192,0.287,0.322
12/5/2022 9:00,0.031,0.743,0.243,0.023,0.236,0.523,0.527,0.547
12/5/2022 10:00,0.031,0.746,0.101,0.017,0.343,0.709,0.672,0.681
12/5/2022 11:00,0.035,0.753,0.068,0.033,0.405,0.796,0.702,0.705
12/5/2022 12:00,0.03,0.762,0.104,0.041,0.385,0.809,0.679,0.693
12/5/2022 13:00,0.026,0.734,0.147,0.036,0.283,0.751,0.58,0.611
